episode, steps, accumulated_reward
1, 869, -177.773224236409
2, 840, -187.363940572858
3, 800, -187.113195937473
4, 896, -187.127199505034
5, 808, -188.994139439865
6, 840, -186.138601147899
7, 805, -191.012863033015
8, 795, -190.206827696897
9, 840, -188.962834738557
10, 840, -186.154896454714
11, 848, -188.258392776377
12, 856, -184.262878364342
13, 845, -181.183491579444
14, 876, -178.554582216327
15, 799, -188.549191379321
16, 896, -180.521666908805
17, 835, -180.467885385652
18, 877, -181.977938577243
19, 960, -221.042887774649
20, 856, -181.920599292909
21, 848, -185.571142278474
22, 682, -196.993182494507
23, 789, -192.16455607059
24, 855, -180.732801597953
25, 898, -179.926799784811
26, 789, -194.154368681187
27, 791, -190.152525059078
28, 809, -182.33211166486
29, 758, -193.454452806452
30, 641, -201.19356732599
31, 809, -182.757267857333
32, 719, -194.983252709117
33, 699, -196.730461855478
34, 893, -180.937709645655
35, 932, -173.6736058595
36, 645, -200.531240654437
37, 749, -186.233055909302
38, 813, -180.466378798851
39, 668, -196.654306103636
40, 669, -197.874559049578
41, 888, -177.510603676313
42, 1002, -206.032704033246
43, 1021, -225.063323039568
44, 701, -189.52270743494
45, 835, -181.836196582589
46, 889, -172.702158377645
47, 1008, -221.477998413819
48, 880, -175.567262818737
49, 924, -182.588979244927
50, 860, -179.286887887462
51, 824, -185.706764265531
52, 965, -180.166731547013
53, 927, -190.775258902552
54, 836, -178.435313352127
55, 838, -180.249776554271
56, 784, -183.797940965789
57, 866, -182.953181092094
58, 831, -188.343131485983
59, 704, -191.431196910176
60, 876, -182.945671316931
61, 821, -182.577673977434
62, 784, -190.300997307267
63, 784, -189.63871289475
64, 808, -186.168774069489
65, 832, -184.745016061812
66, 828, -178.938224636236
67, 844, -183.371909576482
68, 848, -174.847561293008
69, 800, -181.703043734245
70, 824, -182.450019565144
71, 768, -184.434319353297
72, 780, -182.791616071299
73, 764, -181.402871784527
74, 800, -179.094983369352
75, 789, -179.991453346177
76, 858, -173.830214275288
77, 777, -183.578022250052
78, 776, -182.274843870019
79, 770, -182.316131835543
80, 774, -183.688636840681
81, 788, -181.310980473766
82, 796, -177.004773171018
83, 843, -176.687666410255
84, 859, -170.098684496587
85, 793, -185.51414612909
86, 840, -171.843111166854
87, 913, -194.309060592786
